gsis_id	name	position	games_played	avg_points	stddev_points
00-0027059	Patrick Turner	WR	6	3.933333	2.462158
00-0026998	Percy Harvin	WR	25	17.408000	8.786850
00-0026367	Peyton Hillis	RB	23	6.904348	6.516499
00-0010346	Peyton Manning	QB	17	26.078824	10.614174
00-0004091	Phil Dawson	K	33	0.000000	0.000000
00-0022942	Philip Rivers	QB	33	18.134545	7.831542
00-0028613	Phillip Tanner	RB	10	3.380000	2.426850
00-0026345	Pierre Garcon	WR	27	12.781481	8.751298
00-0024813	Pierre Thomas	RB	32	10.196875	5.432224
00-0019642	Plaxico Burress	WR	16	10.462500	5.502826
00-0027450	Preston Parker	WR	18	5.988889	5.357330
00-0026716	Quan Cosby	WR	12	-0.166667	0.552771
00-0027437	Quinn Porter	RB	9	0.000000	0.000000
00-0026902	Ramses Barden	WR	10	5.440000	6.028963
00-0028002	Randall Cobb	WR	31	10.967742	8.351990
00-0029421	Randy Bullock	K	1	0.000000	0.000000
00-0021236	Randy McMichael	TE	18	3.961111	2.219895
00-0011754	Randy Moss	WR	14	6.385714	3.911313
00-0027155	Rashad Jennings	RB	11	6.409091	7.176788
00-0026163	Rashard Mendenhall	RB	22	10.136364	6.496751
00-0023429	Rashied Davis	WR	4	2.575000	1.700551
00-0026195	Ray Rice	RB	33	20.576970	7.585680
00-0024217	Reggie Bush	RB	32	14.221875	8.552475
00-0009119	Reggie Kelly	TE	1	1.700000	0.000000
00-0020498	Reggie Wayne	WR	33	14.775758	7.406428
00-0022121	Rex Grossman	QB	13	13.780000	8.292807
00-0029587	Rhett Ellison	TE	7	1.928571	1.635075
00-0019310	Rian Lindell	K	25	0.000000	0.000000
00-0028442	Ricardo Lockette	WR	2	9.250000	3.850000
00-0025749	Richard Bartel	QB	2	4.170000	5.290000
00-0027585	Richard Goodman	WR	20	0.300000	1.307670
00-0028119	Richard Gordon	TE	4	2.525000	2.719720
00-0028416	Richard Murphy	RB	4	2.300000	0.393700
00-0027583	Richie Brockel	TE	5	2.300000	3.000667
00-0017915	Ricky Williams	RB	16	4.606250	3.570271
00-0027758	Riley Cooper	WR	18	6.816667	5.070311
00-0029580	Rishard Matthews	WR	6	4.350000	1.668083
00-0020962	Rob Bironas	K	33	0.000000	0.000000
00-0027656	Rob Gronkowski	TE	27	19.588889	9.385502
00-0028007	Rob Housler	TE	19	5.789474	3.779013
00-0023252	Robbie Gould	K	30	0.000000	0.000000
00-0029665	Robert Griffin III	QB	16	23.816250	9.516731
00-0028345	Robert Hughes	RB	2	0.900000	0.400000
00-0025414	Robert Meachem	WR	21	8.852381	6.633725
00-0029273	Robert Turbin	RB	16	4.843750	2.907956
00-0030431	Robert Woods	WR	1	8.800000	0.000000
00-0021357	Rock Cartwright	RB	7	1.557143	1.535166
00-0029129	Rod Streater	WR	15	8.420000	5.165682
00-0023462	Roddy White	WR	33	16.684848	8.964919
00-0023437	Ronnie Brown	RB	28	4.742857	4.295133
00-0029683	Ronnie Hillman	RB	15	3.960000	3.223208
00-0023490	Roscoe Parrish	WR	15	0.173333	0.648554
00-0028043	Roy Helu	RB	19	9.431579	8.348341
00-0022909	Roy Williams	WR	12	8.308333	4.945782
00-0029262	Rueben Randle	WR	14	5.850000	6.848749
00-0029263	Russell Wilson	QB	17	20.301176	10.310984
00-0027775	Rusty Smith	QB	1	1.360000	0.000000
00-0022421	Ruvell Martin	WR	6	3.883333	2.916857
00-0029209	Ryan Broyles	WR	7	9.285714	6.122891
00-0023682	Ryan Fitzpatrick	QB	32	16.577500	8.219778
00-0022984	Ryan Grant	RB	20	7.265000	7.224214
00-0029531	Ryan Lindley	QB	6	2.130000	1.677289
00-0010072	Ryan Longwell	K	16	0.000000	0.000000
00-0028012	Ryan Mallett	QB	3	-0.740000	1.137483
00-0027864	Ryan Mathews	RB	27	14.333333	6.563536
00-0026968	Ryan Succop	K	32	0.000000	0.000000
00-0029701	Ryan Tannehill	QB	17	12.843529	7.257296
00-0028156	Ryan Taylor	TE	2	4.750000	2.650000
00-0026279	Ryan Torain	RB	8	4.287500	5.865671
00-0028105	Ryan Whalen	WR	6	3.166667	2.131249
00-0027976	Ryan Williams	RB	5	4.760000	3.000400
00-0027854	Sam Bradford	QB	27	14.288889	6.922336
00-0023953	Sam Hurd	WR	7	2.700000	2.813234
00-0026953	Sammie Stroughter	WR	8	1.200000	2.400000
00-0019484	Sammy Morris	RB	3	5.366667	2.041786
00-0020494	Santana Moss	WR	29	9.810345	4.762667
00-0024240	Santonio Holmes	WR	20	10.930000	5.113521
00-0025516	Scott Chandler	TE	29	8.717241	5.821012
00-0019646	Sebastian Janikowski	K	32	0.000000	0.000000
00-0022055	Seneca Wallace	QB	6	6.463333	5.569146
00-0027581	Seyi Ajirotutu	WR	3	2.966667	1.108553
00-0027994	Shane Vereen	RB	14	7.471429	7.018590
00-0028158	Shaun Chapas	RB	2	1.750000	0.150000
00-0028202	Shaun Draughn	RB	16	4.568750	3.672145
00-0020679	Shaun Hill	QB	3	6.666667	8.575536
00-0023001	Shaun Suisham	K	33	-0.003030	0.017142
00-0019536	Shayne Graham	K	19	0.000000	0.000000
00-0026899	Shonn Greene	RB	33	11.536364	8.114776
00-0025431	Sidney Rice	WR	25	10.752000	6.116935
00-0026491	Stefan Logan	WR	31	0.277419	1.050871
00-0028174	Stephen Burton	WR	5	4.060000	2.832384
00-0024333	Stephen Gostkowski	K	33	0.000000	0.000000
00-0028995	Stephen Hill	WR	7	10.585714	6.764704
00-0027071	Stephen McGee	QB	1	16.080000	0.000000
00-0023108	Stephen Spach	TE	2	1.100000	0.200000
00-0028011	Stevan Ridley	RB	29	9.048276	7.167822
00-0025529	Steve Breaston	WR	22	7.654545	5.434630
