Position,PlayerName,Team,Opponent,Salary,PPG
K,Matt Bryant,Falcons,Rams,6550,5.0
TE,Tony Gonzalez,Falcons,Rams,11500,12.6
FLEX,Tony Gonzalez,Falcons,Rams,11500,12.6
WR,Julio Jones,Falcons,Rams,15350,18.6
FLEX,Julio Jones,Falcons,Rams,15350,18.6
RB,Jacquizz Rodgers,Falcons,Rams,5900,1.2
FLEX,Jacquizz Rodgers,Falcons,Rams,5900,1.2
QB,Matt Ryan,Falcons,Rams,17300,23.4
WR,Roddy White,Falcons,Rams,11950,3.9
FLEX,Roddy White,Falcons,Rams,11950,3.9
QB,John Parker Wilson,Steelers,Bengals,6000,0.0
TE,Scott Chandler,Bills,Panthers,7200,7.8
FLEX,Scott Chandler,Bills,Panthers,7200,7.8
QB,Ryan Fitzpatrick,Titans,Texans,6000,0.0
RB,Fred Jackson,Bills,Panthers,6600,14.8
FLEX,Fred Jackson,Bills,Panthers,6600,14.8
WR,Stevie Johnson,Bills,Panthers,9600,12.9
FLEX,Stevie Johnson,Bills,Panthers,9600,12.9
K,Rian Lindell,Buccaneers,Saints,5650,5.7
WR,David Nelson,Browns,Ravens,4000,0.0
FLEX,David Nelson,Browns,Ravens,4000,0.0
RB,C.J. Spiller,Bills,Panthers,14000,8.5
FLEX,C.J. Spiller,Bills,Panthers,14000,8.5
WR,Earl Bennett,Bears,Vikings,7000,1.6
FLEX,Earl Bennett,Bears,Vikings,7000,1.6
QB,Jay Cutler,Bears,Vikings,11750,21.3
QB,Nathan Enderle,Chargers,Eagles,6000,0.0
RB,Matt Forte,Bears,Vikings,13850,19.1
FLEX,Matt Forte,Bears,Vikings,13850,19.1
K,Robbie Gould,Bears,Vikings,6300,8.8
QB,Caleb Hanie,Ravens,Browns,6000,0.0
QB,Andy Dalton,Bengals,Steelers,14050,19.5
QB,Bruce Gradkowski,Steelers,Bengals,6000,0.0
WR,A.J. Green,Bengals,Steelers,16150,37.2
FLEX,A.J. Green,Bengals,Steelers,16150,37.2
TE,Jermaine Gresham,Bengals,Steelers,7200,8.5
FLEX,Jermaine Gresham,Bengals,Steelers,7200,8.5
WR,Andrew Hawkins,Bengals,Steelers,5300,0.0
FLEX,Andrew Hawkins,Bengals,Steelers,5300,0.0
RB,Brian Leonard,Buccaneers,Saints,4700,1.4
FLEX,Brian Leonard,Buccaneers,Saints,4700,1.4
K,Mike Nugent,Bengals,Steelers,5950,3.0
QB,Carson Palmer,Cardinals,Lions,14450,21.1
QB,Jordan Palmer,Bears,Vikings,6000,0.0
RB,Bernard Scott,Bengals,Steelers,5250,0.0
FLEX,Bernard Scott,Bengals,Steelers,5250,0.0
WR,Jordan Shipley,Jaguars,Raiders,4850,0.0
FLEX,Jordan Shipley,Jaguars,Raiders,4850,0.0
WR,Jerome Simpson,Vikings,Bears,6550,21.0
FLEX,Jerome Simpson,Vikings,Bears,6550,21.0
TE,Jordan Cameron,Browns,Ravens,9900,25.8
FLEX,Jordan Cameron,Browns,Ravens,9900,25.8
K,Phil Dawson,49ers,Seahawks,6100,10.3
RB,Peyton Hillis,Buccaneers,Saints,4600,0.0
FLEX,Peyton Hillis,Buccaneers,Saints,4600,0.0
WR,Greg Little,Browns,Ravens,7350,6.6
FLEX,Greg Little,Browns,Ravens,7350,6.6
QB,Colt McCoy,49ers,Seahawks,6000,0.0
WR,Jordan Norwood,Buccaneers,Saints,4600,0.0
FLEX,Jordan Norwood,Buccaneers,Saints,4600,0.0
QB,Seneca Wallace,Packers,Redskins,6000,0.0
TE,Benjamin Watson,Saints,Buccaneers,5900,6.1
FLEX,Benjamin Watson,Saints,Buccaneers,5900,6.1
WR,Miles Austin,Cowboys,Chiefs,10650,17.2
FLEX,Miles Austin,Cowboys,Chiefs,10650,17.2
K,Dan Bailey,Cowboys,Chiefs,6200,14.3
TE,Martellus Bennett,Bears,Vikings,7800,13.9
FLEX,Martellus Bennett,Bears,Vikings,7800,13.9
WR,Dez Bryant,Cowboys,Chiefs,14050,6.2
FLEX,Dez Bryant,Cowboys,Chiefs,14050,6.2
K,Kai Forbath,Redskins,Packers,6700,3.0
WR,Dwayne Harris,Cowboys,Chiefs,4100,3.2
FLEX,Dwayne Harris,Cowboys,Chiefs,4100,3.2
QB,Stephen McGee,Texans,Titans,6000,0.0
RB,DeMarco Murray,Cowboys,Chiefs,11550,20.5
FLEX,DeMarco Murray,Cowboys,Chiefs,11550,20.5
WR,Kevin Ogletree,Buccaneers,Saints,5350,0.0
FLEX,Kevin Ogletree,Buccaneers,Saints,5350,0.0
TE,John Phillips,Chargers,Eagles,4950,0.0
FLEX,John Phillips,Chargers,Eagles,4950,0.0
QB,Tony Romo,Cowboys,Chiefs,15650,20.4
RB,Phillip Tanner,Cowboys,Chiefs,4750,2.1
FLEX,Phillip Tanner,Cowboys,Chiefs,4750,2.1
TE,Jason Witten,Cowboys,Chiefs,11500,27.0
FLEX,Jason Witten,Cowboys,Chiefs,11500,27.0
WR,Eric Decker,Broncos,Giants,9250,5.2
FLEX,Eric Decker,Broncos,Giants,9250,5.2
K,Steven Hauschka,Seahawks,49ers,5500,7.0
