Position,PlayerName,Team,Opponent,Salary,PPG
D,Falcons (Atl),Falcons,Rams,6200,4.0
D,Bills (Buf),Bills,Panthers,4650,14.0
D,Bears (Chi),Bears,Vikings,8250,7.0
D,Bengals (Cin),Bengals,Steelers,7950,2.0
D,Browns (Cle),Browns,Ravens,5000,6.0
D,Cowboys (Dal),Cowboys,Chiefs,6000,26.0
D,Broncos (Den),Broncos,Giants,5800,10.0
D,Lions (Det),Lions,Cardinals,5250,11.0
D,Packers (GB),Packers,Redskins,4100,1.0
D,Titans (Ten),Titans,Texans,4200,13.0
D,Colts (Ind),Colts,Dolphins,7750,6.0
D,Chiefs (KC),Chiefs,Cowboys,5600,26.0
D,Raiders (Oak),Raiders,Jaguars,6100,4.0
D,Rams (StL),Rams,Falcons,5500,9.0
D,Dolphins (Mia),Dolphins,Colts,4800,16.0
D,Vikings (Min),Vikings,Bears,7150,3.0
D,Saints (NO),Saints,Buccaneers,4800,8.0
D,Giants (NYG),Giants,Broncos,4000,4.0
D,Eagles (Phi),Eagles,Chargers,5900,11.0
D,Cardinals (Ari),Cardinals,Lions,6100,10.0
D,Steelers (Pit),Steelers,Bengals,5700,4.0
D,Chargers (SD),Chargers,Eagles,4950,4.0
D,49ers (SF),49ers,Seahawks,7750,5.0
D,Seahawks (Sea),Seahawks,49ers,6200,9.0
D,Buccaneers (TB),Buccaneers,Saints,5700,10.0
D,Redskins (Was),Redskins,Packers,4400,12.0
D,Panthers (Car),Panthers,Bills,5750,8.0
D,Jaguars (Jac),Jaguars,Raiders,5450,5.0
D,Ravens (Bal),Ravens,Browns,6400,3.0
D,Texans (Hou),Texans,Titans,8250,9.0
K,Matt Bryant,Falcons,Rams,6550,5.0
K,Rian Lindell,Buccaneers,Saints,5650,5.7
K,Robbie Gould,Bears,Vikings,6300,8.8
K,Mike Nugent,Bengals,Steelers,5950,3.0
K,Phil Dawson,49ers,Seahawks,6100,10.3
K,Dan Bailey,Cowboys,Chiefs,6200,14.3
K,Kai Forbath,Redskins,Packers,6700,3.0
K,Steven Hauschka,Seahawks,49ers,5500,7.0
K,Matt Prater,Broncos,Giants,6600,7.0
K,Mason Crosby,Packers,Redskins,5800,4.0
K,Rob Bironas,Titans,Texans,5750,11.4
K,Adam Vinatieri,Colts,Dolphins,5600,3.0
K,Ryan Succop,Chiefs,Cowboys,5000,4.0
K,Sebastian Janikowski,Raiders,Jaguars,6200,5.8
K,Josh Brown,Giants,Broncos,5950,7.0
K,Dan Carpenter,Bills,Panthers,5600,3.0
K,Garrett Hartley,Saints,Buccaneers,6400,12.9
K,Nick Novak,Chargers,Eagles,5650,4.0
K,Alex Henery,Eagles,Chargers,6250,8.8
K,Jay Feely,Cardinals,Lions,5350,6.0
K,Shaun Suisham,Steelers,Bengals,5000,1.0
K,David Akers,Lions,Cardinals,6700,11.5
K,Graham Gano,Panthers,Bills,5650,1.0
K,Shayne Graham,Steelers,Bengals,5750,0.0
K,Josh Scobee,Jaguars,Raiders,5350,0.0
K,Billy Cundiff,Browns,Ravens,5750,4.9
K,Randy Bullock,Texans,Titans,5000,8.1
K,Greg Zuerlein,Rams,Falcons,6000,16.2
K,Blair Walsh,Vikings,Bears,6300,8.2
K,Justin Tucker,Ravens,Browns,6100,9.0
K,Caleb Sturgis,Dolphins,Colts,5850,15.0
QB,Matt Ryan,Falcons,Rams,17300,23.4
QB,John Parker Wilson,Steelers,Bengals,6000,0.0
QB,Ryan Fitzpatrick,Titans,Texans,6000,0.0
QB,Jay Cutler,Bears,Vikings,11750,21.3
QB,Nathan Enderle,Chargers,Eagles,6000,0.0
QB,Caleb Hanie,Ravens,Browns,6000,0.0
QB,Andy Dalton,Bengals,Steelers,14050,19.5
QB,Bruce Gradkowski,Steelers,Bengals,6000,0.0
QB,Carson Palmer,Cardinals,Lions,14450,21.1
QB,Jordan Palmer,Bears,Vikings,6000,0.0
QB,Colt McCoy,49ers,Seahawks,6000,0.0
QB,Seneca Wallace,Packers,Redskins,6000,0.0
QB,Stephen McGee,Texans,Titans,6000,0.0
QB,Tony Romo,Cowboys,Chiefs,15650,20.4
QB,Kyle Orton,Cowboys,Chiefs,6000,0.0
QB,Adam Weber,Buccaneers,Saints,6000,0.0
QB,Shaun Hill,Lions,Cardinals,6000,0.0
QB,Zac Robinson,Bengals,Steelers,6000,0.0
QB,Matthew Stafford,Lions,Cardinals,16600,24.0
QB,Drew Stanton,Cardinals,Lions,6000,0.0
QB,Matt Flynn,Raiders,Jaguars,6000,0.0
QB,Aaron Rodgers,Packers,Redskins,19050,30.6
QB,Matt Hasselbeck,Colts,Dolphins,6000,0.0
QB,Jake Locker,Titans,Texans,8850,5.3
QB,Rusty Smith,Titans,Texans,6000,0.0
QB,Peyton Manning,Broncos,Giants,20000,60.3
QB,Dan Orlovsky,Buccaneers,Saints,6000,0.0
QB,Curtis Painter,Giants,Broncos,6000,0.0
QB,Matt Cassel,Vikings,Bears,6000,0.0
QB,Ricky Stanzi,Jaguars,Raiders,6000,0.0
QB,Jason Campbell,Browns,Ravens,6000,0.0
QB,Trent Edwards,Bears,Vikings,6000,0.0
QB,Sam Bradford,Rams,Falcons,13500,24.1
QB,Thaddeus Lewis,Bills,Panthers,6000,0.0
QB,Pat Devlin,Dolphins,Colts,6000,0.0
QB,Chad Henne,Jaguars,Raiders,7600,1.4
QB,Matt Moore,Dolphins,Colts,6000,0.0
QB,Christian Ponder,Vikings,Bears,8750,8.6
QB,Brian Hoyer,Browns,Ravens,6000,0.0
QB,Drew Brees,Saints,Buccaneers,19800,24.5
QB,Chase Daniel,Chiefs,Cowboys,6000,-0.1
QB,David Carr,Giants,Broncos,6000,0.0
QB,Eli Manning,Giants,Broncos,17150,36.8
QB,Greg McElroy,Bengals,Steelers,6000,0.0
QB,Jerrod Johnson,Bears,Vikings,6000,0.0
QB,Mike Kafka,Jaguars,Raiders,6000,0.0
QB,Michael Vick,Eagles,Chargers,16650,29.5
QB,Vince Young,Packers,Redskins,6000,0.0
QB,Kevin Kolb,Bills,Panthers,6000,0.0
QB,John Skelton,Bengals,Steelers,6000,0.0
QB,Ben Roethlisberger,Steelers,Bengals,13250,11.6
QB,Philip Rivers,Chargers,Eagles,12750,31.6
QB,Scott Tolzien,Packers,Redskins,6000,0.0
QB,McLeod Bethel-Thompson,Vikings,Bears,6000,0.0
QB,Colin Kaepernick,49ers,Seahawks,17650,36.7
QB,Alex Smith,Chiefs,Cowboys,12400,21.4
QB,Tarvaris Jackson,Seahawks,49ers,6000,0.0
QB,Josh Portis,Seahawks,49ers,6000,0.0
QB,Charlie Whitehurst,Chargers,Eagles,6000,0.0
QB,Josh Freeman,Buccaneers,Saints,13600,12.4
QB,Josh Johnson,Bengals,Steelers,6000,0.0
QB,Kellen Clemens,Rams,Falcons,6000,0.0
