"name","position","prediction"
"Andre Johnson","WR",17.8326468441002
"Visanthe Shiancoe","TE",4.71501383109563
"Vonta Leach","RB",4.02181199495498
"Matt Schaub","QB",18.7310398563177
"Billy Bajema","TE",3.80096659170821
"Owen Daniels","TE",12.3483947262071
"Jacoby Jones","WR",7.26902054150021
"Caleb Hanie","QB",6.86763710898018
"Joe Flacco","QB",19.9764539303311
"Ray Rice","RB",16.1746531746633
"Arian Foster","RB",20.4081741994639
"Stephen McGee","QB",5.09151329789871
"Ed Dickson","TE",5.73759507284452
"Dennis Pitta","TE",11.5595580907914
"Garrett Graham","TE",8.4045182683216
"David Reed","WR",2.81662173046843
"Deji Karim","RB",4.20821962785532
"Ben Tate","RB",6.2411581496914
"Tyler Clutts","RB",2.49502324812713
"Torrey Smith","WR",12.6313929005615
"Tandon Doss","WR",4.25551999825959
"T.J. Yates","QB",8.64915156202292
"Tyrod Taylor","QB",10.0828434273385
"Anthony Allen","RB",3.79498376471112
"Damien Berry","RB",6.14175932695773
"LaQuan Williams","WR",4.9476326975095
"Lestar Jean","WR",9.25443659094631
"Jeff Maehl","WR",11.8128382424651
"Case Keenum","QB",10.9274736265231
"Jake Byrne","TE",2.67666321052028
"Bernard Pierce","RB",6.23110790363516
"Tommy Streeter","WR",3.27999205155964
"Bobby Rainey","RB",5.62908210613011
"Deonte Thompson","WR",2.90382267963283
"Keshawn Martin","WR",3.82593670564326
"DeVier Posey","WR",5.69655548253925
"Kyle Juszczyk","RB",3.38668713626575
"Aaron Mellette","WR",9.14037824253235
"Matt Furstenburg","TE",3.74094841383011
"Ryan Griffin","TE",8.27470646323409
"Ray Graham","RB",3.65324185070664
"Dennis Johnson","RB",6.24657979394583
"Cierre Wood","RB",7.72659742449994
"Marlon Brown","WR",14.2295219477444
"DeAndre Hopkins","WR",14.2933326467788
"Aaron Rodgers","QB",26.6147612135287
"Alex Smith","TE",2.87491754684293
"Vince Young","QB",8.65407072449613
"James Jones","WR",14.4803272129477
"BenJarvus Green-Ellis","RB",10.6873704849764
"Matthew Mulligan","TE",3.53864776939854
"Jordy Nelson","WR",16.0730433038585
"Jermichael Finley","TE",10.2130287772038
"Josh Johnson","QB",9.14213191854234
"Cedric Peerman","RB",5.08657267506942
"Bernard Scott","RB",3.32238732283355
"Richard Quinn","TE",2.58938595637777
"Brandon Tate","WR",4.17277369160752
"Graham Harrell","QB",4.32744502593288
"John Skelton","QB",8.89201001947135
"James Starks","RB",7.84095591360254
"Zac Robinson","QB",3.44716971105782
"Jermaine Gresham","TE",11.1493584864157
"Andrew Hawkins","WR",8.2331353162586
"A.J. Green","WR",18.2102296282163
"Andy Dalton","QB",17.5359259686213
"Randall Cobb","WR",15.5998161916723
"Alex Green","RB",7.29148591938993
"D.J. Williams","TE",3.69616690693011
"Ryan Whalen","WR",4.42754675953642
"Ryan Taylor","TE",3.74106351405954
"Jeremy Ross","WR",2.73586128361552
"Dane Sanzenbacher","WR",6.81291868925184
"DuJuan Harris","RB",9.54978094662103
"Taveon Rogers","WR",2.70836624980926
"Jarrett Boykin","WR",4.51117542025526
"B.J. Coleman","QB",4.82650529837974
"Marvin Jones","WR",7.35363118694187
"Orson Charles","TE",3.24943591229177
"Dan Herron","RB",4.41158938833038
"Brandon Bostick","TE",4.74457777238555
"Mohamed Sanu","WR",9.650081545082
"Roy Roundtree","WR",2.1288628155917
"Omarius Hines","WR",1.94688094075711
"Johnathan Franklin","RB",3.65416210554984
"Kevin Dorsey","WR",2.54476891345747
"Angelo Pease","RB",1.51326283575751
"Jake Stoneburner","TE",4.9606453646734
"Myles White","WR",6.58494347904673
"Rex Burkhead","RB",7.53000640226461
